slot_epoch_seconds,tape,base_cents,reb_cents,evm_cents,evmplc_cents
1784614500,W08,113.85,-157.629,764.258,350.446
1784615100,W08,233.369,233.369,341.786,368.822
1784615700,W08,305.487,237.525,57.342,-81.716
1784616300,W08,584.735,584.735,34.334,-160.793
1784616600,W08,617.152,617.152,491.215,228.744
1784616900,W08,545.249,398.745,678.668,595.33
1784617200,W08,461.528,411.62,196.926,276.669
1784617500,W08,459.726,459.726,106.025,-12.364
1784617800,W08,92.153,92.153,220.557,182.061
1784619300,W08,149.959,149.959,1.307,172.798
1784619600,W08,615.777,615.777,-125.914,-234.724
1784620200,W08,-29.491,136.35,116.243,264.396
1784620500,W08,590.022,590.022,618.074,531.677
1784621700,W08,457.75,375.848,235.776,273.04
1784622000,W08,9.976,9.976,73.181,526.04
1784622600,W08,-245.249,17.228,24.456,101.933
1784623200,W08,-221.122,-155.213,-56.437,-13.706
1784623500,W08,406.049,746.431,509.146,164.647
1784623800,W08,231.1,231.1,378.193,306.236
1784624100,W08,-353.997,-353.997,-170.216,-123.28
1784624400,W08,-149.617,-149.617,224.273,-17.928
1784624700,W08,365.02,365.02,390.168,83.233
1784625000,W08,-31.645,-71.826,48.87,30.505
1784625900,W08,322.96,322.96,82.245,-27.756
1784626800,W08,134.366,156.474,95.274,49.391
1784627100,W08,-98.546,-200.238,228.765,130.109
1784627400,W08,-457.31,-78.248,130.216,20.936
1784628300,W08,88.485,88.485,-132.207,-208.51
1784628900,W08,135.611,135.611,243.313,11.619
1784629200,W08,177.008,177.008,265.135,195.248
1784629500,W08,-377.396,-377.396,-27.378,38.873
1784629800,W08,7.055,7.055,30.826,138.649
1784630100,W08,-103.284,-87.896,312.461,112.031
1784630400,W08,459.05,459.05,23.124,146.565
1784630700,W08,135.417,90.635,217.658,-30.086
1784631600,W08,-41.022,-41.022,-57.71,37.137
1784631900,W08,-214.146,-214.146,-216.159,-119.326
1784632500,W08,123.742,161.89,148.155,315.5
1784632800,W08,166.538,166.538,-136.212,-239.564
1784633100,W08,-209.228,-209.228,-376.896,-49.369
1784633400,W08,44.361,-67.792,162.839,201.705
1784634000,W08,-140.579,-140.579,121.159,258.846
1784634300,W08,-187.918,-187.918,-252.631,-166.351
1784634600,W08,234.903,11.496,-158.12,-241.199
1784634900,W08,89.187,89.187,141.432,69.996
1784635800,W08,651.05,643.024,275.427,260.133
1784636100,W08,563.372,563.372,138.387,220.557
